2023-05-27 17:35:29.710 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2023-05-27 17:35:29.712 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2023-05-27 17:36:04.170 [main] INFO  com.example.graph.GraphApplication - Starting GraphApplication using Java 1.8.0_372 on CM-H7SFC230502A with PID 24552 (C:\Users\G1656996\Desktop\backup\graph\target\classes started by G1656996 in C:\Users\G1656996\Desktop\backup\graph)
2023-05-27 17:36:04.173 [main] INFO  com.example.graph.GraphApplication - No active profile set, falling back to 1 default profile: "default"
2023-05-27 17:36:04.770 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-05-27 17:36:04.774 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-05-27 17:36:04.774 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-05-27 17:36:04.774 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.74]
2023-05-27 17:36:04.834 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-27 17:36:04.834 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 630 ms
2023-05-27 17:36:04.907 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2023-05-27 17:36:04.949 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2023-05-27 17:36:04.957 [main] INFO  c.g.y.a.MybatisPlusJoinAutoConfiguration - MPJSqlInjector init
2023-05-27 17:36:05.781 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-05-27 17:36:05.791 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-05-27 17:36:05.799 [main] INFO  com.example.graph.GraphApplication - Started GraphApplication in 1.866 seconds (JVM running for 2.433)
2023-05-27 17:36:09.495 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2023-05-27 17:36:09.496 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2023-05-27 17:36:11.908 [main] INFO  com.example.graph.GraphApplication - Starting GraphApplication using Java 1.8.0_372 on CM-H7SFC230502A with PID 32440 (C:\Users\G1656996\Desktop\backup\graph\target\classes started by G1656996 in C:\Users\G1656996\Desktop\backup\graph)
2023-05-27 17:36:11.911 [main] INFO  com.example.graph.GraphApplication - No active profile set, falling back to 1 default profile: "default"
2023-05-27 17:36:12.611 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-05-27 17:36:12.615 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-05-27 17:36:12.615 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-05-27 17:36:12.615 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.74]
2023-05-27 17:36:12.669 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-27 17:36:12.669 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 718 ms
2023-05-27 17:36:12.753 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2023-05-27 17:36:12.803 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2023-05-27 17:36:12.810 [main] INFO  c.g.y.a.MybatisPlusJoinAutoConfiguration - MPJSqlInjector init
2023-05-27 17:36:13.742 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-05-27 17:36:13.759 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
